"phrase","n"
"bhagavantaññeva pa<U+1E6D>ibhatu etassa bhasitassa attho",1
"bhagavapi kosalo",1
"bhagavapi kosalo ahampi kosalo",1
"bhagavapi ma<U+1E41> janissa",1
"bhagavata a<U+1E6D><U+1E6D>ha dhamma sa<U+1E45>khittena vutta",1
"bhagavata anekapariyayena dhammo pakasito",1
"bhagavata aññadeva kiñci sandhaya bhasita<U+1E41>",1
"bhagavata bhasita<U+1E41>",1
"bhagavata cattaro sa",1
"bhagavata eva<U+1E41> dhamma<U+1E41> desita<U+1E41> ajanami",1
"bhagavata kho",1
"bhagavata oghassa nitthara<U+1E47>a akkhata",1
"bhagavata pa<U+1E6D>hama<U+1E41> paribhutta<U+1E41> paccha kapilavatthava sakya paribhuñjissan",1
"bhagavata sa<U+1E45>khittena ovadena ovadito",1
"bhagavata sake acariyake samanuyuñjiyamana samanuggahiyamana samanubhasiyamana ritta tuccha aparaddha",1
"bhagavata sake acariyake samanuyuñjiyamana samanuggahiyamana samanubhasiyamana ritta tuccha aparaddha",1
"bhagavato arahato sammasambuddhassa vidhurasañjiva<U+1E41> nama savakayuga<U+1E41> ahosi agga<U+1E41> bhaddayuga<U+1E41>",1
"bhagavato bhasita<U+1E41> abhinandi",1
"bhagavato bhasita<U+1E41> abhinanditva anumoditva u<U+1E6D><U+1E6D>hayasana bhagavanta<U+1E41> abhivadetva padakkhi<U+1E47>a<U+1E41> katva pattacivarapariyesana<U+1E41> pakkami",1
"bhagavato bhasita<U+1E41> abhinanditva anumoditva u<U+1E6D><U+1E6D>hayasana bhagavanta<U+1E41> abhivadetva padakkhi<U+1E47>a<U+1E41> katva yena saka<U+1E41> nivesana<U+1E41> tenupasa<U+1E45>kami",1
"bhagavato bhasita<U+1E41> anabhinanditva pa<U+1E6D>ikkositva u<U+1E6D><U+1E6D>hayasana pakkami",1
"bhagavato cetasa cetoparivitakkamaññaya",1
"bhagavato cetaso parivitakkita<U+1E41> ho",1
"bhagavato civarakamma<U+1E41> kariya",1
"bhagavato sammukha dhammi katha",1
"bhagavato tassa savakohamasmi",1
"bhagavato vidita vedana uppajjan",1
"bhaginivadena no ayyaputto ra<U+1E6D><U+1E6D>hapalo samudacarati",1
"bhajitabbe dhamme ajananto abhajitabbe dhamme ajananto",1
"bhajitabbe dhamme bhaja",1
"bhajitabbe dhamme jana",1
"bhajitabbe dhamme jananto abhajitabbe dhamme jananto",1
"bhajitabbe dhamme na bhaja",1
"bhajitabbe dhamme na jana",1
"bhante dighatapassi",1
"bhante tapassi",1
"bharabhara<U+1E41> kareyya",1
"bharadvajagottassa brahma<U+1E47>assa agyagare",1
"bharadvajagotto brahma<U+1E47>o sa<U+1E41>viggo lomaha<U+1E6D><U+1E6D>hajato bhagavanta<U+1E41> etadavoca",1
"bharadvajo an",1
"bharadvajo i",1
"bharadvajo ma<U+1E47>avo evamaha",1
"bhasasi gotama",1
"bhasita kho pana te esa",1
"bhasita<U+1E41> abhinanditva anumoditva evamassa vacaniyo",1
"bhasmava bhava",1
"bhatta<U+1E41> pa<U+1E6D>ikulasammatan",1
"bhattañca me chade",1
"bhattañca me nacchadesi",1
"bhattañcassa chadeyya",1
"bhattañcassa nacchadeyya",1
"bhava<U+1E41> bharadvajo sama<U+1E47>assa gotamassa paññaveyyat",1
"bhava<U+1E41> gotamo samadapeta",1
"bhava<U+1E41> kho pana ra<U+1E6D><U+1E6D>hapalo etarahi appabadho appata<U+1E45>ko samavepakiniya gaha<U+1E47>iya samannagato na",1
"bhava<U+1E41> kho pana ra<U+1E6D><U+1E6D>hapalo etarahi daharo yuva susuka<U+1E37>akeso bhadrena yobbanena samannagato pa<U+1E6D>hamena vayasa",1
"bhava<U+1E41> kho pana ra<U+1E6D><U+1E6D>hapalo imasmi<U+1E41>yeva thullako<U+1E6D><U+1E6D>hike aggakulassa putto",1
"bhava<U+1E41> nabhivadi<U+1E41> kiñci",1
"bhava<U+1E41> sariputto aha",1
"bhava<U+1E41> sariputto aha",1
"bhava<U+1E41> senapa",1
"bhava<U+1E41> tesa<U+1E41> gotamo bahukaro",1
"bhava<U+1E41> tesa<U+1E41> gotamo pubba<U+1E45>gamo",1
"bhava<U+1E41> tesa<U+1E41> gotamo samadapeta",1
"bhava<U+1E41> vacchayano sama<U+1E47>assa gotamassa paññaveyyat",1
"bhavabhavakatha i",1
"bhavadi<U+1E6D><U+1E6D>hi ca vibhavadi<U+1E6D><U+1E6D>hi ca",1
"bhavadi<U+1E6D><U+1E6D>hiya te pa<U+1E6D>iviruddha",1
"bhavana bhavita bahulikata mahapphala ho",1
"bhavana<U+1E41> bhavayato ya ara",1
"bhavana<U+1E41> bhavayato ya vihesa sa pahiyissa",1
"bhavana<U+1E41> bhavayato yo asmimano so pahiyissa",1
"bhavana<U+1E41> bhavayato yo byapado so pahiyissa",1
"bhavana<U+1E41> bhavayato yo pa<U+1E6D>igho so pahiyissa",1
"bhavana<U+1E41> bhavayato yo rago so pahiyissa",1
"bhavananuyogamanuyutta viharan",1
"bhavanapahatabbaasava katame ca",1
"bhavañca vibhavesina<U+1E41>",1
"bhavañhi ca<U+1E45>ki ubhato sujato ma",1
"bhavañhi gotamo bhavitakayo ca ho",1
"bhavanirodha nu kho",1
"bhavanirodhagamini<U+1E41> pa<U+1E6D>ipadañca pajana",1
"bhavanirodhañca pajana",1
"bhavanta<U+1E41> ca<U+1E45>ki<U+1E41> dassanaya upasa<U+1E45>kamitun",1
"bhavanta<U+1E41> pu<U+1E6D><U+1E6D>humagama",1
"bhavanta<U+1E41>yeva tattha udena<U+1E41> uttari pa<U+1E6D>ipucchissami",1
"bhavapaccaya nu kho",1
"bhavaramaya vata",1
"bhavasa<U+1E41>yojane ca kho appahine bhavopi appahino hoti",1
"bhavasa<U+1E41>yojane ca kho pahine bhavopi pahino hoti",1
"bhavasamudaya ja",1
"bhavasamudayañca pajana",1
"bhavaya va vibhavaya va",1
"bhavayato eva<U+1E41>sa te asava vighatapari<U+1E37>aha na hon",1
"bhavevaha<U+1E41> bhaya<U+1E41> disva",1
"bhavissama nu kho maya<U+1E41> anagatamaddhana<U+1E41>",1
"bhavissami nu kho aha<U+1E41> anagatamaddhana<U+1E41>",1
"bhavita bahulikata cattaro sa",1
"bhavita bahulikata so",1
"bhavita kho me cattaro iddhipada",1
"bhavita kho me cattaro sa",1
"bhavita kho me cattaro sammappadhana",1
"bhavita kho me samatho ca vipassana ca",1
"bhavita kho me satta bojjha<U+1E45>ga",1
"bhavita nu kho me cattaro iddhipada",1
"bhavita nu kho me cattaro sa",1
"bhavita nu kho me cattaro sammappadhana",1
"bhavita nu kho me samatho ca vipassana ca",1
"bhavita nu kho me satta bojjha<U+1E45>ga",1
"bhavitani kho me pañca balani",1
"bhavitani kho me pañcindriyani",1
"bhavitani nu kho me pañca balani",1
"bhavitani nu kho me pañcindriyani",1
"bhavitatto nama",1
"bhavito kho me ariyo a<U+1E6D><U+1E6D>ha<U+1E45>giko maggo",1
"bhavito nu kho me ariyo a<U+1E6D><U+1E6D>ha<U+1E45>giko maggo",1
"bhayabheravasaho assa<U+1E41>",1
"bhayabheravasaho ho",1
"bhayabheravasutta<U+1E41> ni<U+1E6D><U+1E6D>hita<U+1E41> catuttha<U+1E41>",1
"bhayani udakorohante pa<U+1E6D>ika<U+1E45>khitabbani",1
"bhayani uppajjan",1
"bhesajjena kara<U+1E47>iya<U+1E41> ho",1
"bhi<U+1E41>sanakassa vanasa<U+1E47><U+1E0D>assa bhi<U+1E41>sanakatasmi<U+1E41> ho",1
"bhikkhacariyañca pana brahma<U+1E47>o sandhana<U+1E41> a",1
"bhikkhave mahakaccano",1
"bhikkhu a<U+1E6D><U+1E6D>hanameta<U+1E41> anavakaso ya<U+1E41> di<U+1E6D><U+1E6D>hisampanno puggalo kañci sa<U+1E45>khara<U+1E41> niccato upagaccheyya",1
"bhikkhu abhijjhavisamalobho cittassa upakkileso",1
"bhikkhu akhi<U+1E47>asavo kala<U+1E41> karo",1
"bhikkhu amanasikaritva akasanañcayatanasañña<U+1E41>",1
"bhikkhu amanasikaritva araññasañña<U+1E41>",1
"bhikkhu amanasikaritva gamasañña<U+1E41>",1
"bhikkhu amanasikaritva manussasañña<U+1E41>",1
"bhikkhu amanasikaritva pathavisañña<U+1E41>",1
"bhikkhu anekavihita<U+1E41> pubbenivasa<U+1E41> anussara",1
"bhikkhu aniccanupassi assasissami",1
"bhikkhu añña<U+1E41> byakaro",1
"bhikkhu aññatara<U+1E41> gama<U+1E41> upanissaya vihara",1
"bhikkhu araha<U+1E41> hoti",1
"bhikkhu araha<U+1E41> khi<U+1E47>asavo vusitava katakara<U+1E47>iyo ohitabharo anuppattasadattho parikkhi<U+1E47>abhavasa<U+1E41>yojano sammadañña vimutto",1
"bhikkhu araha<U+1E41> khi<U+1E47>asavo vusitava katakara<U+1E47>iyo ohitabharo anuppattasadattho parikkhi<U+1E47>abhavasa<U+1E41>yojano sammadañña vimutto paribhuñjeyya so kame",1
"bhikkhu araha<U+1E41> khi<U+1E47>asavo vusitava katakara<U+1E47>iyo ohitabharo anuppattasadattho parikkhi<U+1E47>abhavasa<U+1E41>yojano sammadaññavimutto tassa carato ceva",1
"bhikkhu arahanto khi<U+1E47>asava vusitavanto katakara<U+1E47>iya ohitabhara anuppattasadattha parikkhi<U+1E47>abhavasa<U+1E41>yojana sammadaññavimutta",1
"bhikkhu arahanto khi<U+1E47>asava vusitavanto katakara<U+1E47>iya ohitabhara anuppattasadattha parikkhi<U+1E47>abhavasa<U+1E41>yojana sammadaññavimutta te kho eta<U+1E41> janeyyu<U+1E41>",1
"bhikkhu ariya<U+1E41> a<U+1E6D><U+1E6D>ha<U+1E45>gika<U+1E41> magga<U+1E41> yathabhuta<U+1E41> nappajana",1
"bhikkhu ariya<U+1E41> a<U+1E6D><U+1E6D>ha<U+1E45>gika<U+1E41> magga<U+1E41> yathabhuta<U+1E41> pajana",1
"bhikkhu ariyasavako i",1
"bhikkhu bha<U+1E47><U+1E0D>anajato kalahajato vivadapanno aññamañña<U+1E41> mukhasattihi vitudanto vihara",1
"bhikkhu bhagavato pade sirasa vanda",1
"bhikkhu bhagavato san",1
"bhikkhu bhesaka<U+1E37>avane",1
"bhikkhu bhikkhu<U+1E41> evarupaya garukaya apat",1
"bhikkhu bhojane mattaññu ho",1
"bhikkhu byapadapariyu<U+1E6D><U+1E6D>hito ho",1
"bhikkhu cakkhuna rupa<U+1E41> disva na nimittaggahi ho",1
"bhikkhu cakkhuna rupa<U+1E41> disva nimittaggahi ho",1
"bhikkhu cakkhuñca pajana",1
"bhikkhu cepi aka<U+1E45>kheyya",1
"bhikkhu chandasamadhipadhanasa<U+1E45>kharasamannagata<U+1E41> iddhipada<U+1E41> bhave",1
"bhikkhu chasu phassayatanesu sa<U+1E41>vutakari upadhi dukkhassa mulan",1
"bhikkhu cittapa<U+1E6D>isa<U+1E41>vedi assasissami",1
"bhikkhu civarapi<U+1E47><U+1E0D>apatasenasanagilanappaccayabhesajjaparikkhara<U+1E41> alabhamano na suvaco ho",1
"bhikkhu codito va acodito va apat",1
"bhikkhu dhamma<U+1E41>yeva sakkaronto",1
"bhikkhu dhamme ka<U+1E45>kha",1
"bhikkhu dhamme na ka<U+1E45>kha",1
"bhikkhu dhatukusalo ca ho",1
"bhikkhu eka<U+1E41> samaya<U+1E41> citta<U+1E41>",1
"bhikkhu gha<U+1E6D>ikarassa kumbhakarassa avesana<U+1E41> ut",1
"bhikkhu idhalokacintaya pasuto ho",1
"bhikkhu imasmi<U+1E41> bhikkhusa<U+1E45>ghe anapanassa",1
"bhikkhu imasmi<U+1E41> bhikkhusa<U+1E45>ghe catunna<U+1E41> sa",1
"bhikkhu imasmi<U+1E41> bhikkhusa<U+1E45>ghe catunna<U+1E41> sammappadhanana<U+1E41> bhavananuyogamanuyutta viharan",1
"bhikkhu imasmi<U+1E41> bhikkhusa<U+1E45>ghe mettabhavananuyogamanuyutta viharan",1
"bhikkhu imasmi<U+1E41> bhikkhusa<U+1E45>ghe pañcanna<U+1E41> orambhagiyana<U+1E41> sa<U+1E41>yojanana<U+1E41> parikkhaya opapa",1
"bhikkhu imasmi<U+1E41> bhikkhusa<U+1E45>ghe sekkha santatasila santatavut",1
"bhikkhu indriyesu guttadvaro ho",1
"bhikkhu jagariya<U+1E41> anuyutto ho",1
"bhikkhu kakusandhena bhagavata arahata sammasambuddhena eva<U+1E41> ovadiyamana eva<U+1E41> anusasiyamana araññagatapi rukkhamulagatapi suññagaragatapi asubhanupassino kaye vihari<U+1E41>su",1
"bhikkhu kakusandhena bhagavata arahata sammasambuddhena eva<U+1E41> ovadiyamana eva<U+1E41> anusasiyamana araññagatapi rukkhamulagatapi suññagaragatapi mettasahagatena cetasa eka<U+1E41> disa<U+1E41> pharitva vihari<U+1E41>su",1
"bhikkhu kamaragapariyu<U+1E6D><U+1E6D>hito ho",1
"bhikkhu kayaduccarita<U+1E41> pahaya kayasucarita<U+1E41> bhave",1
"bhikkhu kaye avitarago ho",1
"bhikkhu kaye vitarago ho",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto amhe etadavoca",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto amhehi samanuyuñjiyamano samanugahiyamano samanubhasiyamano tadeva papaka<U+1E41> di<U+1E6D><U+1E6D>higata<U+1E41> thamasa paramasa abhinivissa vohara",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto tassa bhikkhuno pa<U+1E6D>issutva yena bhagava tenupasa<U+1E45>kami",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto tehi bhikkhuhi samanuyuñjiyamano samanugahiyamano samanubhasiyamano tadeva papaka<U+1E41> di<U+1E6D><U+1E6D>higata<U+1E41> thamasa paramasa abhinivissa vohara",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto tenupasa<U+1E45>kami",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto tenupasa<U+1E45>kami<U+1E41>su",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto tenupasa<U+1E45>kamimha",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto tu<U+1E47>hibhuto ma<U+1E45>kubhuto pattakkhandho adhomukho pajjhayanto appa<U+1E6D>ibhano nisidi",1
"bhikkhu keva<U+1E6D><U+1E6D>aputto usmikatopi imasmi<U+1E41> dhammavinaye",1
"bhikkhu khamo sitassa u<U+1E47>hassa jighacchaya pipasaya <U+1E0D>a<U+1E41>samakasavatatapasarisapasamphassana<U+1E41> duruttana<U+1E41> duragatana<U+1E41> vacanapathana<U+1E41>",1
"bhikkhu khi<U+1E47>asavo kala<U+1E41> karo",1
"bhikkhu mama san",1
"bhikkhu na ceva attana<U+1E41> ukka<U+1E41>se",1
"bhikkhu na dharemi bhaddekarat",1
"bhikkhu na katthaci upapajjati",1
"bhikkhu na kenaci sa<U+1E41>vada",1
"bhikkhu na kiñci mañña",1
"bhikkhu na parinibbayati",1
"bhikkhu na sakkon",1
"bhikkhu na sama<U+1E47>asamicippa<U+1E6D>ipada<U+1E41> pa<U+1E6D>ipanno ho",1
"bhikkhu na va parinibbayeyya",1
"bhikkhu na yavadattha<U+1E41> udaravadehaka<U+1E41> bhuñjitva seyyasukha<U+1E41> passasukha<U+1E41> middhasukha<U+1E41> anuyutto vihara",1
"bhikkhu ñattajjhapanno ho",1
"bhikkhu pa<U+1E6D>isa<U+1E45>kha yoniso ca<U+1E47><U+1E0D>a<U+1E41> hatthi<U+1E41> parivajje",1
"bhikkhu pa<U+1E6D>isa<U+1E45>kha yoniso cakkhundriyasa<U+1E41>varasa<U+1E41>vuto vihara",1
"bhikkhu pa<U+1E6D>isa<U+1E45>kha yoniso civara<U+1E41> pa<U+1E6D>iseva",1
"bhikkhu pa<U+1E6D>isa<U+1E45>kha yoniso khamo ho",1
"bhikkhu pa<U+1E6D>isa<U+1E45>kha yoniso sa",1
"bhikkhu pa<U+1E6D>isa<U+1E45>kha yoniso uppanna<U+1E41> kamavitakka<U+1E41> nadhivase",1
"bhikkhu paccavekkhamano sabbepime papake akusale dhamme appahine attani samanupassa",1
"bhikkhu pacchabhatta<U+1E41> pi<U+1E47><U+1E0D>apatapa<U+1E6D>ikkanto nisida",1
"bhikkhu papa<U+1E6D>ika<U+1E41> aggahesi brahmacariyassa",1
"bhikkhu paralokacintaya pasuto ho",1
"bhikkhu parinibbayati",1
"bhikkhu parinibbayeyya",1
"bhikkhu passami",1
"bhikkhu passami ha<U+1E6D><U+1E6D>hapaha<U+1E6D><U+1E6D>he udaggudagge abhiratarupe pi<U+1E47>indriye appossukke pannalome paradattavutte migabhutena cetasa viharante",1
"bhikkhu passami samagge sammodamane avivadamane khirodakibhute aññamañña<U+1E41> piyacakkhuhi sampassante viharante",1
"bhikkhu passami yavajiva<U+1E41> apa<U+1E47>ako<U+1E6D>ika<U+1E41> paripu<U+1E47><U+1E47>a<U+1E41> parisuddha<U+1E41> brahmacariya<U+1E41> carante",1
"bhikkhu pavare",1
"bhikkhu pheggu<U+1E41> aggahesi brahmacariyassa",1
"bhikkhu pi<U+1E47><U+1E0D>aya <U+1E6D>hito",1
"bhikkhu rattandhakara",1
"bhikkhu rupe avitarago ho",1
"bhikkhu sa<U+1E45>ga<U+1E47>ikaramo sa<U+1E45>ga<U+1E47>ikarato sa<U+1E45>ga<U+1E47>ikaramata<U+1E41> anuyutto ga<U+1E47>aramo ga<U+1E47>arato ga<U+1E47>asammudito samayika<U+1E41> va kanta<U+1E41> cetovimut",1
"bhikkhu sa<U+1E45>ga<U+1E47>ikaramo sa<U+1E45>ga<U+1E47>ikarato sa<U+1E45>ga<U+1E47>ikaramata<U+1E41> anuyutto ga<U+1E47>aramo ga<U+1E47>arato ga<U+1E47>asammudito ya<U+1E41> ta<U+1E41> nekkhammasukha<U+1E41> pavivekasukha<U+1E41> upasamasukha<U+1E41> sambodhisukha<U+1E41> tassa sukhassa nikamalabhi bhavissa",1
"bhikkhu sa<U+1E45>ghassa pekkhato",1
"bhikkhu sa<U+1E45>ghe ka<U+1E45>kha",1
"bhikkhu sa<U+1E45>ghe na ka<U+1E45>kha",1
"bhikkhu sabbanimittana<U+1E41> amanasikara animitta<U+1E41> cetosamadhi<U+1E41> upasampajja vihara",1
"bhikkhu sabbasavasa<U+1E41>varasa<U+1E41>vuto vihara",1
"bhikkhu saccavadi ho",1
"bhikkhu sace aka<U+1E45>kheyya",1
"bhikkhu saddhabala<U+1E41> bhave",1
"bhikkhu saddhindriya<U+1E41> bhave",1
"bhikkhu sakhapalasa<U+1E41> aggahesi brahmacariyassa",1
"bhikkhu sama<U+1E47>asamicippa<U+1E6D>ipada<U+1E41> pa<U+1E6D>ipanno ho",1
"bhikkhu sama<U+1E47>o i",1
"bhikkhu sammadeva añña<U+1E41> byaka<U+1E41>su udahu santetthekacce bhikkhu adhimanena añña<U+1E41> byaka<U+1E41>su",1
"bhikkhu sammadi<U+1E6D><U+1E6D>hi<U+1E41> bhave",1
"bhikkhu santa<U+1E41> va ajjhatta<U+1E41> kamacchanda<U+1E41> atthi me ajjhatta<U+1E41> kamacchando",1
"bhikkhu santa<U+1E41> va ajjhatta<U+1E41> sa",1
"bhikkhu saraga<U+1E41> va citta<U+1E41> saraga<U+1E41> cittan",1
"bhikkhu sekkha apattamanasa anuttara<U+1E41> yogakkhema<U+1E41> patthayamana viharan",1
"bhikkhu sekkha appattamanasa anuttara<U+1E41> yogakkhema<U+1E41> patthayamana viharan",1
"bhikkhu sekkho appattamanaso anuttara<U+1E41> yogakkhema<U+1E41> patthayamano vihara",1
"bhikkhu sikkhaya na ka<U+1E45>kha",1
"bhikkhu sinato antarena sinanena",1
"bhikkhu sobha",1
"bhikkhu sukha<U+1E41> va vedana<U+1E41> vedayamano sukha<U+1E41> vedana<U+1E41> vedayami",1
"bhikkhu sukhassa ca pahana",1
"bhikkhu ta<U+1E41> pi<U+1E47><U+1E0D>apata<U+1E41> bhuñjitva jighacchadubbalya<U+1E41> pa<U+1E6D>ivinodetva eva<U+1E41> ta<U+1E41> rat",1
"bhikkhu taca<U+1E41> aggahesi brahmacariyassa",1
"bhikkhu tapassi ho",1
"bhikkhu tathagata<U+1E41> vinayaka<U+1E41> labhamano",1
"bhikkhu tathagataññeva sakkaro",1
"bhikkhu tathagatappavedite dhammavinaye desiyamane labha",1
"bhikkhu tathagatappavedite dhammavinaye desiyamane na labha",1
"bhikkhu thinamiddhapariyu<U+1E6D><U+1E6D>hito ho",1
"bhikkhu tihi anuttariyehi samannagato ho",1
"bhikkhu uddhaccakukkuccapariyu<U+1E6D><U+1E6D>hito ho",1
"bhikkhu ukkhittapaligho i",1
"bhikkhu upadhiviveka akusalana<U+1E41> dhammana<U+1E41> pahana sabbaso kayadu<U+1E6D><U+1E6D>hullana<U+1E41> pa<U+1E6D>ippassaddhiya vivicceva kamehi vivicca akusalehi dhammehi savitakka<U+1E41> savicara<U+1E41> vivekaja<U+1E41> pi",1
"bhikkhu upadiyamano upadiya",1
"bhikkhu uppanna<U+1E41> kamavitakka<U+1E41> adhivase",1
"bhikkhu uppanna<U+1E41> kamavitakka<U+1E41> nadhivase",1
"bhikkhu vasi vitakkapariyayapathesu",1
"bhikkhu vicikicchapariyu<U+1E6D><U+1E6D>hito ho",1
"bhikkhu vivadan",1
"bhikkhu vivitta<U+1E41> senasana<U+1E41> bhaja",1
"bhikkhu ya<U+1E41> imissa pathaviya ukkulavikkula<U+1E41> nadividugga<U+1E41> kha<U+1E47>uka<U+1E47><U+1E6D>aka<U+1E6D><U+1E6D>hana<U+1E41> pabbatavisama<U+1E41> ta<U+1E41> sabba<U+1E41> amanasikaritva pathavisañña<U+1E41> pa<U+1E6D>icca manasi karo",1
"bhikkhu ya<U+1E41> kiñci rupa<U+1E41> atitanagatapaccuppanna<U+1E41> ajjhatta<U+1E41> va bahiddha va o<U+1E37>arika<U+1E41> va sukhuma<U+1E41> va hina<U+1E41> va pa<U+1E47>ita<U+1E41> va ya<U+1E41> dure san",1
"bhikkhu yani tani silani akha<U+1E47><U+1E0D>ani acchiddani asabalani akammasani bhujissani viññuppasatthani aparama<U+1E6D><U+1E6D>hani samadhisa<U+1E41>vattanikani tatharupesu silesu silasamaññagato vihara",1
"bhikkhu yatha i<U+1E47>a<U+1E41> yatha roga<U+1E41> yatha bandhanagara<U+1E41> yatha dasabya<U+1E41> yatha kantaraddhanamagga<U+1E41>",1
"bhikkhu yathasuta<U+1E41> yathapariyatta<U+1E41> dhamma<U+1E41> na vittharena paresa<U+1E41> deseta ho",1
"bhikkhu yathasuta<U+1E41> yathapariyatta<U+1E41> dhamma<U+1E41> vittharena paresa<U+1E41> deseta ho",1
"bhikkhu yavata eka<U+1E41> rukkhamula<U+1E41> mahaggatan",1
"bhikkhu yaya<U+1E41> di<U+1E6D><U+1E6D>hi ariya niyyanika niyya",1
"bhikkhu ye te bhikkhu thera rattaññu cirapabbajita sa<U+1E45>ghapitaro sa<U+1E45>ghapari<U+1E47>ayaka te a",1
"bhikkhu ye te bhikkhu thera rattaññu cirapabbajita sa<U+1E45>ghapitaro sa<U+1E45>ghapari<U+1E47>ayaka tesu metta<U+1E41> kayakamma<U+1E41> paccupa<U+1E6D><U+1E6D>hape",1
"bhikkhu ye te labha dhammika dhammaladdha antamaso pattapariyapannamattampi",1
"bhikkhu<U+1E41> amanapa vacanapatha phusan",1
"bhikkhu<U+1E41> ka",1
"bhikkhu<U+1E41> sainda deva sabrahmaka sapajapa",1
"bhikkhu<U+1E41> suvaco",1
"bhikkhu<U+1E41> tayo phassa phusan",1
"bhikkhuhi yasmi<U+1E41> avase bahutara bhikkhu so avaso gantabbo",1
"bhikkhuna abhidhamme abhivinaye yogo kara<U+1E47>iyo",1
"bhikkhuna ajjhattameva citta<U+1E41> sa<U+1E47><U+1E6D>hapetabba<U+1E41> sannisadetabba<U+1E41> ekodi katabba<U+1E41> samadahatabba<U+1E41>",1
"bhikkhuna amakkhi bhavissami apa<U+1E37>asi",1
"bhikkhuna anattukka<U+1E41>sako bhavissami aparavambhi",1
"bhikkhuna anissuki bhavissami amacchari",1
"bhikkhuna araddhaviriyena bhavitabba<U+1E41>",1
"bhikkhuna ariyassa a<U+1E6D><U+1E6D>ha<U+1E45>gikassa maggassa bhavanaya vayamitabba<U+1E41>",1
"bhikkhuna asa<U+1E6D>ho bhavissami amayavi",1
"bhikkhuna asandi<U+1E6D><U+1E6D>hiparamasi bhavissami anadhanaggahi suppa<U+1E6D>inissaggi",1
"bhikkhuna attanava attana<U+1E41> eva<U+1E41> anuminitabba<U+1E41>",1
"bhikkhuna atthaddho bhavissami ana",1
"bhikkhuna bhojane mattaññuna bhavitabba<U+1E41>",1
"bhikkhuna catunna<U+1E41> iddhipadana<U+1E41> bhavanaya vayamitabba<U+1E41>",1
"bhikkhuna catunna<U+1E41> sa",1
"bhikkhuna catunna<U+1E41> sammappadhanana<U+1E41> bhavanaya vayamitabba<U+1E41>",1
"bhikkhuna codito codakena apadane sampayissami",1
"bhikkhuna codito codakena codaka<U+1E41> na apasadessami",1
"bhikkhuna codito codakena codaka<U+1E41> nappa<U+1E6D>ippharissami",1
"bhikkhuna codito codakena codakassa na paccaropessami",1
"bhikkhuna codito codakena na aññenañña<U+1E41> pa<U+1E6D>icarissami",1
"bhikkhuna indriyesu guttadvarena bhavitabba<U+1E41>",1
"bhikkhuna jagariya<U+1E41> anuyuttena bhavitabba<U+1E41>",1
"bhikkhuna na kodhano bhavissami na kodhabhibhuto",1
"bhikkhuna na kodhano bhavissami na kodhahetu abhisa<U+1E45>gi",1
"bhikkhuna na kodhano bhavissami na kodhahetu upanahi",1
"bhikkhuna na kodhano bhavissami na kodhasamanta vaca<U+1E41> niccharessami",1
"bhikkhuna na papiccho bhavissami",1
"bhikkhuna pañca nimittani kalena kala<U+1E41> manasi katabbani",1
"bhikkhuna pañcanna<U+1E41> balana<U+1E41> bhavanaya vayamitabba<U+1E41>",1
"bhikkhuna pañcanna<U+1E41> indriyana<U+1E41> bhavanaya vayamitabba<U+1E41>",1
"bhikkhuna pañcanna<U+1E41> kamagu<U+1E47>ana<U+1E41> pahanaya vayamitabba<U+1E41>",1
"bhikkhuna pañcanna<U+1E41> nivara<U+1E47>ana<U+1E41> pahanaya vayamitabba<U+1E41>",1
"bhikkhuna pañcanna<U+1E41> upadanakkhandhana<U+1E41> pariññaya vayamitabba<U+1E41>",1
"bhikkhuna paññavata bhavitabba<U+1E41>",1
"bhikkhuna parassa cetopariyaya<U+1E41> ajanantena dvisu dhammesu tathagato samannesitabbo cakkhusotaviññeyyesu dhammesu",1
"bhikkhuna parassa cetopariyaya<U+1E41> ajanantena tathagate samannesana katabba sammasambuddho va no va i",1
"bhikkhuna sa<U+1E45>ghagatena sa<U+1E45>ghe viharantena abhisamacarikopi dhammo janitabbo",1
"bhikkhuna sa<U+1E45>ghagatena sa<U+1E45>ghe viharantena amukharena bhavitabba<U+1E41> aviki<U+1E47><U+1E47>avacena",1
"bhikkhuna sa<U+1E45>ghagatena sa<U+1E45>ghe viharantena anuddhatena bhavitabba<U+1E41> acapalena",1
"bhikkhuna sa<U+1E45>ghagatena sa<U+1E45>ghe viharantena asanakusalena bhavitabba<U+1E41>",1
"bhikkhuna sa<U+1E45>ghagatena sa<U+1E45>ghe viharantena na",1
"bhikkhuna sa<U+1E45>ghagatena sa<U+1E45>ghe viharantena na purebhatta<U+1E41> pacchabhatta<U+1E41> kulesu caritta<U+1E41> apajjitabba<U+1E41>",1
"bhikkhuna sa<U+1E45>ghagatena sa<U+1E45>ghe viharantena sabrahmacarisu sagaravena bhavitabba<U+1E41> sappa",1
